,Algorithm,Size,Threatened_Queens,Amount_of_explored_states,Time
246,HILL_CLIMBING,10,2,4,0.06849122047424316
247,SIM_ANNEALING,10,0,288,0.051206111907958984
248,GENETIC,10,0,12680,7.219023704528809
249,HILL_CLIMBING,10,2,5,0.08120059967041016
250,SIM_ANNEALING,10,2,667,0.11192107200622559
251,GENETIC,10,0,2610,1.4686882495880127
252,HILL_CLIMBING,10,4,3,0.06072854995727539
253,SIM_ANNEALING,10,2,667,0.11055874824523926
254,GENETIC,10,6,20000,12.440195798873901
255,HILL_CLIMBING,10,2,5,0.07678747177124023
256,SIM_ANNEALING,10,2,667,0.1126859188079834
257,GENETIC,10,0,11560,6.539428949356079
258,HILL_CLIMBING,10,2,6,0.09914350509643555
259,SIM_ANNEALING,10,2,667,0.10876631736755371
260,GENETIC,10,0,1710,0.9231958389282227
261,HILL_CLIMBING,10,4,4,0.06996393203735352
262,SIM_ANNEALING,10,0,480,0.07933259010314941
263,GENETIC,10,0,890,0.5095014572143555
264,HILL_CLIMBING,10,2,4,0.06764864921569824
265,SIM_ANNEALING,10,2,667,0.1090993881225586
266,GENETIC,10,3,20000,11.253784656524658
267,HILL_CLIMBING,10,2,3,0.05501818656921387
268,SIM_ANNEALING,10,2,667,0.10798501968383789
269,GENETIC,10,5,20000,11.22006344795227
