,Algorithm,Size,Threatened_Queens,Amount_of_explored_states,Time
172,SIM_ANNEALING,8,2,67,0.009732484817504883
173,GENETIC,8,6,80,0.383960485458374
174,HILL_CLIMBING,8,2,4,0.27458739280700684
175,SIM_ANNEALING,8,2,67,0.002004861831665039
176,GENETIC,8,5,80,0.2441256046295166
177,HILL_CLIMBING,10,3,4,0.2341611385345459
178,SIM_ANNEALING,10,4,134,0.10549378395080566
179,HILL_CLIMBING,8,3,3,0.06859159469604492
180,SIM_ANNEALING,8,2,99,0.00905752182006836
181,GENETIC,8,6,80,0.5212385654449463
182,HILL_CLIMBING,12,2,6,0.7921054363250732
183,SIM_ANNEALING,12,4,154,0.11646604537963867
184,GENETIC,12,9,120,1.4726359844207764
185,GENETIC,10,8,100,0.9303643703460693
186,HILL_CLIMBING,8,2,5,0.10840749740600586
187,SIM_ANNEALING,8,3,101,0.011873722076416016
188,GENETIC,8,6,80,0.5001773834228516
189,HILL_CLIMBING,8,0,3,0.06299543380737305
190,SIM_ANNEALING,8,2,67,0.1386418342590332
191,GENETIC,8,6,80,0.20252156257629395
192,HILL_CLIMBING,10,4,2,0.13102340698242188
193,SIM_ANNEALING,10,4,134,0.05208897590637207
194,GENETIC,10,6,100,0.8959207534790039
195,HILL_CLIMBING,15,4,6,2.586587429046631
196,SIM_ANNEALING,15,5,167,0.30043506622314453
197,GENETIC,15,12,150,4.0428102016448975
198,HILL_CLIMBING,8,2,6,0.27625608444213867
199,SIM_ANNEALING,8,2,86,0.012042522430419922
200,GENETIC,8,4,80,0.27621889114379883
201,HILL_CLIMBING,8,3,4,0.11398863792419434
202,SIM_ANNEALING,8,4,134,0.07545757293701172
203,GENETIC,8,6,80,0.22324204444885254
204,HILL_CLIMBING,12,0,7,0.8882107734680176
205,SIM_ANNEALING,12,4,134,0.11742138862609863
206,GENETIC,12,9,120,1.5691046714782715
207,HILL_CLIMBING,8,2,3,0.04278898239135742
208,SIM_ANNEALING,8,2,74,0.029943227767944336
209,GENETIC,8,6,80,0.3741319179534912
210,HILL_CLIMBING,10,2,5,0.40964388847351074
211,HILL_CLIMBING,8,2,6,0.11261463165283203
212,SIM_ANNEALING,8,2,67,0.0010085105895996094
213,GENETIC,8,6,80,0.4267892837524414
214,SIM_ANNEALING,10,3,127,0.14933133125305176
215,GENETIC,10,6,100,1.0788862705230713
216,HILL_CLIMBING,8,2,3,0.04014897346496582
217,SIM_ANNEALING,8,2,67,0.011780977249145508
218,GENETIC,8,5,80,0.43653297424316406
219,HILL_CLIMBING,10,0,5,0.2892436981201172
220,SIM_ANNEALING,10,2,89,0.042313575744628906
221,GENETIC,10,7,100,0.5116450786590576
222,HILL_CLIMBING,8,3,2,0.13519883155822754
223,SIM_ANNEALING,8,2,69,0.09708571434020996
224,GENETIC,8,6,80,0.2642807960510254
225,HILL_CLIMBING,8,4,2,0.041605234146118164
226,SIM_ANNEALING,8,2,67,0.009572505950927734
227,GENETIC,8,5,80,0.24571990966796875
228,HILL_CLIMBING,12,2,7,0.9693503379821777
229,SIM_ANNEALING,12,5,195,0.09502863883972168
230,GENETIC,12,8,120,1.548090934753418
231,HILL_CLIMBING,10,2,4,0.19176363945007324
232,SIM_ANNEALING,10,4,134,0.20555996894836426
233,GENETIC,10,8,100,0.628279447555542
234,HILL_CLIMBING,8,4,2,0.06322431564331055
235,SIM_ANNEALING,8,2,67,0.0031099319458007812
236,GENETIC,8,6,80,0.3716304302215576
237,HILL_CLIMBING,8,2,4,0.2418510913848877
238,SIM_ANNEALING,8,2,79,0.04939746856689453
239,GENETIC,8,5,80,0.30001187324523926
240,HILL_CLIMBING,10,3,3,0.23403668403625488
241,SIM_ANNEALING,10,2,87,0.07480978965759277
242,GENETIC,10,7,100,0.6399116516113281
243,HILL_CLIMBING,12,4,2,0.3704352378845215
244,SIM_ANNEALING,12,4,134,0.415985107421875
245,GENETIC,12,8,120,1.351036787033081
246,HILL_CLIMBING,10,3,4,0.20139551162719727
247,SIM_ANNEALING,10,3,101,0.054060935974121094
248,GENETIC,10,7,100,0.7894551753997803
249,HILL_CLIMBING,10,4,3,0.2561025619506836
250,SIM_ANNEALING,10,4,145,0.06518864631652832
251,GENETIC,10,7,100,0.5001027584075928
252,HILL_CLIMBING,15,2,7,3.2074971199035645
253,SIM_ANNEALING,15,6,201,0.43600010871887207
254,GENETIC,15,12,150,3.5413291454315186
255,HILL_CLIMBING,10,5,1,0.1024770736694336
256,SIM_ANNEALING,10,4,134,0.21591639518737793
257,GENETIC,10,6,100,0.6694018840789795
258,HILL_CLIMBING,12,2,6,0.6955165863037109
259,SIM_ANNEALING,12,4,134,0.16014814376831055
260,GENETIC,12,7,120,1.238703727722168
261,HILL_CLIMBING,10,2,4,0.33565568923950195
262,SIM_ANNEALING,10,4,134,0.07648015022277832
263,GENETIC,10,7,100,0.7562963962554932
264,HILL_CLIMBING,12,2,6,0.6504781246185303
265,SIM_ANNEALING,12,4,134,0.09636330604553223
266,GENETIC,12,10,120,1.024587869644165
267,HILL_CLIMBING,10,0,6,0.35169219970703125
268,SIM_ANNEALING,10,4,134,0.05442500114440918
269,GENETIC,10,8,100,0.598435640335083
270,HILL_CLIMBING,10,2,3,0.206528902053833
271,SIM_ANNEALING,10,3,133,0.10237836837768555
272,GENETIC,10,8,100,0.6494474411010742
273,HILL_CLIMBING,12,5,4,0.6431660652160645
274,SIM_ANNEALING,12,4,147,0.08495616912841797
275,GENETIC,12,9,120,1.2157042026519775
276,HILL_CLIMBING,10,0,4,0.24036622047424316
277,SIM_ANNEALING,10,3,101,0.011553525924682617
278,GENETIC,10,8,100,0.6732316017150879
279,HILL_CLIMBING,15,4,7,2.099998950958252
280,SIM_ANNEALING,15,4,162,0.3292195796966553
281,GENETIC,15,12,150,3.1150119304656982
282,HILL_CLIMBING,10,4,5,0.2794311046600342
283,SIM_ANNEALING,10,4,134,0.06375765800476074
284,GENETIC,10,7,100,0.6070840358734131
285,HILL_CLIMBING,12,2,6,0.6116821765899658
286,SIM_ANNEALING,12,5,167,0.15131473541259766
287,GENETIC,12,10,120,1.196687936782837
288,HILL_CLIMBING,10,3,4,0.16942739486694336
289,SIM_ANNEALING,10,0,60,0.042429447174072266
290,GENETIC,10,7,100,0.693486213684082
291,HILL_CLIMBING,10,3,2,0.24175763130187988
292,SIM_ANNEALING,10,2,98,0.04133272171020508
293,GENETIC,10,6,100,0.7575318813323975
294,HILL_CLIMBING,12,2,6,0.6235496997833252
295,SIM_ANNEALING,12,3,108,0.05072164535522461
296,GENETIC,12,10,120,1.3097071647644043
297,HILL_CLIMBING,10,3,4,0.20327234268188477
298,SIM_ANNEALING,10,4,134,0.04788708686828613
299,GENETIC,10,8,100,0.7431421279907227
300,HILL_CLIMBING,10,2,5,0.35573744773864746
301,SIM_ANNEALING,10,2,95,0.03901553153991699
302,GENETIC,10,7,100,0.4799199104309082
303,HILL_CLIMBING,12,4,5,0.6518526077270508
304,SIM_ANNEALING,12,4,134,0.09647607803344727
305,GENETIC,12,10,120,1.3337509632110596
306,HILL_CLIMBING,10,4,3,0.14771413803100586
307,SIM_ANNEALING,10,3,144,0.1398911476135254
308,GENETIC,10,8,100,0.711674690246582
309,HILL_CLIMBING,15,4,7,2.1035146713256836
310,SIM_ANNEALING,15,5,171,0.21741104125976562
311,GENETIC,15,12,150,3.184645414352417
312,HILL_CLIMBING,10,2,4,0.2543678283691406
313,SIM_ANNEALING,10,3,101,0.06472277641296387
314,GENETIC,10,8,100,0.808220386505127
315,HILL_CLIMBING,12,0,8,0.9643211364746094
316,SIM_ANNEALING,12,4,134,0.09453368186950684
317,GENETIC,12,10,120,1.1763815879821777
318,HILL_CLIMBING,10,3,3,0.15871810913085938
319,SIM_ANNEALING,10,2,67,0.055208444595336914
320,GENETIC,10,6,100,0.7478508949279785
321,HILL_CLIMBING,10,4,2,0.10617589950561523
322,SIM_ANNEALING,10,2,68,0.01177978515625
323,GENETIC,10,7,100,0.618708610534668
324,HILL_CLIMBING,10,2,5,0.37314724922180176
325,SIM_ANNEALING,10,2,110,0.052249908447265625
326,GENETIC,10,7,100,0.6102125644683838
327,HILL_CLIMBING,12,2,8,1.0610520839691162
328,SIM_ANNEALING,12,5,167,0.10021638870239258
329,GENETIC,12,9,120,1.158447265625
330,HILL_CLIMBING,15,3,6,1.8126444816589355
331,SIM_ANNEALING,15,4,134,0.18665480613708496
332,GENETIC,15,11,150,2.775162935256958
333,HILL_CLIMBING,12,3,5,0.4192640781402588
334,SIM_ANNEALING,12,4,150,0.08573436737060547
335,GENETIC,12,7,120,0.8837354183197021
336,HILL_CLIMBING,12,2,5,0.4223642349243164
337,SIM_ANNEALING,12,5,172,0.06618547439575195
338,GENETIC,12,8,120,0.9167280197143555
339,HILL_CLIMBING,12,5,3,0.27884364128112793
340,SIM_ANNEALING,12,4,134,0.06997942924499512
341,GENETIC,12,9,120,0.8955514430999756
342,HILL_CLIMBING,15,3,6,1.3378400802612305
343,SIM_ANNEALING,15,5,167,0.15847349166870117
344,GENETIC,15,11,150,2.16801118850708
345,HILL_CLIMBING,12,2,6,0.5077388286590576
346,SIM_ANNEALING,12,6,201,0.12789535522460938
347,GENETIC,12,9,120,0.9173462390899658
348,HILL_CLIMBING,12,2,6,0.5039606094360352
349,SIM_ANNEALING,12,5,167,0.09602999687194824
350,GENETIC,12,10,120,0.8767144680023193
351,HILL_CLIMBING,15,2,9,1.7135357856750488
352,SIM_ANNEALING,15,5,167,0.1296982765197754
353,GENETIC,15,11,150,1.9840803146362305
354,HILL_CLIMBING,12,2,6,0.47902417182922363
355,SIM_ANNEALING,12,3,101,0.07283663749694824
356,GENETIC,12,7,120,0.9074199199676514
357,HILL_CLIMBING,12,4,4,0.3493621349334717
358,SIM_ANNEALING,12,5,167,0.09486174583435059
359,GENETIC,12,10,120,0.8327450752258301
360,HILL_CLIMBING,12,4,3,0.2780184745788574
361,SIM_ANNEALING,12,5,167,0.08499479293823242
362,GENETIC,12,9,120,0.8520722389221191
363,HILL_CLIMBING,15,4,7,1.4208424091339111
364,SIM_ANNEALING,15,4,153,0.12554574012756348
365,GENETIC,15,12,150,2.1227965354919434
366,HILL_CLIMBING,12,2,5,0.4527568817138672
367,SIM_ANNEALING,12,3,101,0.042780399322509766
368,GENETIC,12,8,120,0.8321058750152588
369,HILL_CLIMBING,12,2,5,0.4572725296020508
370,SIM_ANNEALING,12,3,142,0.09255623817443848
371,GENETIC,12,7,120,0.8845968246459961
372,HILL_CLIMBING,15,4,5,1.1505882740020752
373,SIM_ANNEALING,15,5,167,0.15672898292541504
374,GENETIC,15,12,150,2.0887317657470703
375,HILL_CLIMBING,12,2,6,0.5268912315368652
376,SIM_ANNEALING,12,4,134,0.05314779281616211
377,GENETIC,12,9,120,0.9286010265350342
378,HILL_CLIMBING,12,2,5,0.42131567001342773
379,SIM_ANNEALING,12,5,167,0.11624646186828613
380,GENETIC,12,9,120,0.8672230243682861
381,HILL_CLIMBING,12,5,3,0.26543641090393066
382,SIM_ANNEALING,12,4,142,0.08518743515014648
383,GENETIC,12,9,120,0.9537582397460938
384,HILL_CLIMBING,15,3,5,1.099029541015625
385,SIM_ANNEALING,15,5,167,0.13889813423156738
386,GENETIC,15,9,150,2.2628982067108154
387,HILL_CLIMBING,12,0,7,0.584820032119751
388,SIM_ANNEALING,12,5,167,0.10865020751953125
389,GENETIC,12,7,120,0.8905661106109619
390,HILL_CLIMBING,12,2,6,0.5237562656402588
391,SIM_ANNEALING,12,4,134,0.09906315803527832
392,GENETIC,12,9,120,0.937180757522583
393,HILL_CLIMBING,15,5,5,1.0898127555847168
394,SIM_ANNEALING,15,4,174,0.1478290557861328
395,GENETIC,15,11,150,1.7635562419891357
396,HILL_CLIMBING,15,0,8,0.8216984272003174
397,SIM_ANNEALING,15,5,172,0.0776066780090332
398,GENETIC,15,11,150,1.1821541786193848
399,HILL_CLIMBING,15,2,6,0.6566460132598877
400,SIM_ANNEALING,15,5,167,0.07739591598510742
401,GENETIC,15,11,150,1.1464674472808838
402,HILL_CLIMBING,15,6,5,0.5126628875732422
403,SIM_ANNEALING,15,4,134,0.0644829273223877
404,GENETIC,15,10,150,1.075291633605957
405,HILL_CLIMBING,15,4,6,0.6289844512939453
406,SIM_ANNEALING,15,4,134,0.05349254608154297
407,GENETIC,15,12,150,1.012960433959961
