,Algorithm,Size,State,It,Value
696,GENETIC,10,BestState,349,2
697,GENETIC,10,WorstState,349,10
698,GENETIC,10,BestState,350,2
699,GENETIC,10,WorstState,350,10
700,GENETIC,10,BestState,351,2
701,GENETIC,10,WorstState,351,9
702,GENETIC,10,BestState,352,2
703,GENETIC,10,WorstState,352,10
704,GENETIC,10,BestState,353,2
705,GENETIC,10,WorstState,353,10
706,GENETIC,10,BestState,354,2
707,GENETIC,10,WorstState,354,9
708,GENETIC,10,BestState,355,2
709,GENETIC,10,WorstState,355,10
710,GENETIC,10,BestState,356,2
711,GENETIC,10,WorstState,356,9
712,GENETIC,10,BestState,357,2
713,GENETIC,10,WorstState,357,10
714,GENETIC,10,BestState,358,2
715,GENETIC,10,WorstState,358,9
716,GENETIC,10,BestState,359,2
717,GENETIC,10,WorstState,359,10
718,GENETIC,10,BestState,360,2
719,GENETIC,10,WorstState,360,9
720,GENETIC,10,BestState,361,2
721,GENETIC,10,WorstState,361,9
722,GENETIC,10,BestState,362,2
723,GENETIC,10,WorstState,362,9
724,GENETIC,10,BestState,363,5
725,GENETIC,10,WorstState,363,10
726,GENETIC,10,BestState,364,5
727,GENETIC,10,WorstState,364,9
728,GENETIC,10,BestState,365,7
729,GENETIC,10,WorstState,365,10
730,GENETIC,10,BestState,366,7
731,GENETIC,10,WorstState,366,10
732,GENETIC,10,BestState,367,7
733,GENETIC,10,WorstState,367,9
734,GENETIC,10,BestState,368,7
735,GENETIC,10,WorstState,368,10
736,GENETIC,10,BestState,369,6
737,GENETIC,10,WorstState,369,10
738,GENETIC,10,BestState,370,6
739,GENETIC,10,WorstState,370,9
740,GENETIC,10,BestState,371,6
741,GENETIC,10,WorstState,371,10
742,GENETIC,10,BestState,372,4
743,GENETIC,10,WorstState,372,9
744,GENETIC,10,BestState,373,2
745,GENETIC,10,WorstState,373,10
746,GENETIC,10,BestState,374,2
747,GENETIC,10,WorstState,374,10
748,GENETIC,10,BestState,375,2
749,GENETIC,10,WorstState,375,10
750,GENETIC,10,BestState,376,4
751,GENETIC,10,WorstState,376,10
752,GENETIC,10,BestState,377,3
